Policy ID,Lapse
PID_4928TWH,0.0755779445171356
PID_KBLLEGK,0.000624861393589526
PID_90F0QA3,0.000645532971248031
PID_18F3NHF,0.024187883362174
PID_SX4QUVO,0.246879503130913
PID_TU5BFPR,0.270375579595566
PID_WLKPNBI,0.000752816034946591
PID_WJJ0O09,0.00457707652822137
PID_8GYR0BI,0.17082192003727
PID_S2LWT7E,0.000620962120592594
PID_SJMOS1D,0.000458187336334959
PID_7WCQC27,0.000497377943247557
PID_SPCQJ1K,0.0875376909971237
PID_P8VLKT7,0.171561598777771
PID_71C0MWB,0.00047468367847614
PID_RYR0SVX,0.172327160835266
PID_QC1RYSQ,0.0833739712834358
PID_A06YOH1,0.162244245409966
PID_7CENWWS,0.00038087012944743
PID_RA28BWC,0.0255744680762291
PID_8G3Z646,0.113404795527458
PID_0AOTABJ,0.174529537558556
PID_PURXM81,0.000598853977862746
PID_2OZ33GW,0.123280517756939
PID_YPYFRUG,0.000425420177634805
PID_ZMTQ112,0.0068873967975378
PID_IGO1OBG,0.103525809943676
PID_D5WUS3Y,0.433058947324753
PID_K1H0CE1,0.000467578880488873
PID_IE9WGLN,0.00076746242120862
PID_TUF2RYA,0.000366790540283546
PID_RS6IVNO,0.000555063423234969
PID_Y1XLAQA,0.00049477961147204
PID_XYZF5R0,0.145029440522194
PID_8UDWR8I,0.173576697707176
PID_B7KWJVR,0.000743692566175014
PID_QX210WC,0.143477320671082
PID_EY0IR7Q,0.0948401615023613
PID_CSLCV4S,0.128234907984734
PID_9260TJI,0.126693665981293
PID_JDUP62T,0.000701810116879642
PID_ETGO7UZ,0.000437468261225149
PID_LB7J0ZV,0.137205272912979
PID_VK5HY24,0.000484152405988425
PID_AVXTMLL,0.168749660253525
PID_E2937R5,0.127418786287308
PID_X44RL44,0.000511940626893193
PID_SVY3SHN,0.151482552289963
PID_DGNC3NK,0.181051805615425
PID_Z2GXBKG,0.157166346907616
PID_ZXBXQ3J,0.219989776611328
PID_R8VTUP8,0.193300917744637
PID_AKW9DXT,0.000542765890713781
PID_X80214X,0.130341723561287
PID_1V02PHZ,0.000756774214096367
PID_41TIL7I,0.187923073768616
PID_3W6KRNN,0.17559839785099
PID_AS4LOC9,0.000625762506388128
PID_DZ6ORUI,0.163542285561562
PID_6X98B9L,0.000526377465575934
PID_UW2GB04,0.000507074350025505
PID_6PNA9K9,0.000509397767018527
