test.id,pred
PID_4928TWH,0.067456915974617
PID_KBLLEGK,0.000651675509288907
PID_90F0QA3,0.000635241798590869
PID_18F3NHF,0.0261948853731155
PID_SX4QUVO,0.245485931634903
PID_TU5BFPR,0.269847720861435
PID_WLKPNBI,0.000827234121970832
PID_WJJ0O09,0.00431475974619389
PID_8GYR0BI,0.1722442060709
PID_S2LWT7E,0.000638177618384361
PID_SJMOS1D,0.000453797169029713
PID_7WCQC27,0.000494416570290923
PID_SPCQJ1K,0.087699256837368
PID_P8VLKT7,0.171196728944778
PID_71C0MWB,0.000460575829492882
PID_RYR0SVX,0.168504312634468
PID_QC1RYSQ,0.0809570550918579
PID_A06YOH1,0.163478717207909
PID_7CENWWS,0.000399741111323237
PID_RA28BWC,0.209306180477142
PID_8G3Z646,0.113293454051018
PID_0AOTABJ,0.171607866883278
PID_PURXM81,0.000649609661195427
PID_2OZ33GW,0.12383870780468
PID_YPYFRUG,0.000439636263763532
PID_ZMTQ112,0.00661810068413615
PID_IGO1OBG,0.0961063131690025
PID_D5WUS3Y,0.429981291294098
PID_K1H0CE1,0.000491293205413967
PID_IE9WGLN,0.000801373913418502
PID_TUF2RYA,0.00040307521703653
PID_RS6IVNO,0.000560565444175154
PID_Y1XLAQA,0.000526103831361979
PID_XYZF5R0,0.147463232278824
PID_8UDWR8I,0.172126859426498
PID_B7KWJVR,0.00074752839282155
PID_QX210WC,0.141686633229256
PID_EY0IR7Q,0.100546278059483
PID_CSLCV4S,0.128438532352448
PID_9260TJI,0.127473652362823
PID_JDUP62T,0.000803503091447055
PID_ETGO7UZ,0.000519185094162822
PID_LB7J0ZV,0.126678645610809
PID_VK5HY24,0.000509761855937541
PID_AVXTMLL,0.164513632655144
PID_E2937R5,0.124094694852829
PID_X44RL44,0.000481379393022507
PID_SVY3SHN,0.151454612612724
PID_DGNC3NK,0.186366334557533
PID_Z2GXBKG,0.155257597565651
PID_ZXBXQ3J,0.221752390265465
PID_R8VTUP8,0.192993745207787
PID_AKW9DXT,0.00052379269618541
PID_X80214X,0.117843769490719
PID_1V02PHZ,0.000811272009741515
PID_41TIL7I,0.186738133430481
PID_3W6KRNN,0.177855268120766
PID_AS4LOC9,0.000645121210254729
PID_DZ6ORUI,0.160896375775337
PID_6X98B9L,0.000583616842050105
PID_UW2GB04,0.000528734060935676
PID_6PNA9K9,0.000504710827954114
PID_723WPIR,0.267060309648514
PID_E05BF6O,0.129626497626305
PID_LJYXUFF,0.130266338586807
PID_TU37QCG,0.00118296931032091
PID_VA244YE,0.000551725388504565
PID_G55RZRA,0.205092012882233
PID_DTEGGWH,0.228184700012207
PID_CBKRFEU,0.142379403114319
PID_YZRYG67,0.000544085924047977
PID_7RNPY9F,0.148170351982117
PID_590186H,0.000495897198561579
PID_GFXRHW2,0.00280463066883385
PID_D88JBQA,0.292100071907043
PID_X3XH0ZA,0.112769924104214
PID_VDCW79S,0.10696329921484
PID_R13GW14,0.234247386455536
PID_GG7CO9T,0.0977990701794624
PID_VEGETGP,0.254888206720352
PID_FF6DBHD,0.185593128204346
PID_K5TT3O5,0.127455547451973
PID_7BN8ALJ,0.000524383911397308
PID_781HX4Q,0.000429329345934093
PID_VCXSGF0,0.198298871517181
PID_WS27GNU,0.000487942015752196
PID_STX9L27,0.000582785345613957
PID_HO1Y2NJ,0.176942691206932
PID_0HXX5KW,0.175674974918365
PID_XKRAUZC,0.0306609235703945
PID_DHLX37E,0.241377398371696
PID_FJSLQ6W,0.000471081875730306
PID_WSGM4P6,0.276906996965408
PID_ZCZW28S,0.129430249333382
PID_F5TABO9,0.00694457115605474
PID_IPBDVUD,0.258397549390793
PID_FRM9QJL,0.11534845083952
PID_Y34JR1M,0.000655707262922078
PID_GMJSKZ3,0.144952431321144
PID_GU6O83P,0.000438452872913331
PID_18A5P1Y,0.000589676259551197
PID_PC2WV6R,0.147082522511482
PID_5W6E47V,0.0942642837762833
PID_YDODZRN,0.156459867954254
PID_C7GJCAE,0.000503158546052873
PID_1FPKPB1,0.111812777817249
PID_TLVYNZZ,0.104542501270771
PID_AQZ6IZ2,0.123224794864655
PID_V8MWOBR,0.000482185801956803
PID_KXV9DX1,0.0988097786903381
